Project Name,Country,Start Date,Capacity (kt H2/y),Length (km),Investment Cost (MUSD),Source,Date Online,Technology,Capacity Change (Simulated)
Hoasis (TCP Gecomp),CHL,,2100,,363.832,Production,2030,Solar PV,1.898988008
Hofors rolling project,SWE,,17,,2.881278261,Production,2023,,1.999194213
Hokkaido green hydrogen plant,JPN,,3.174542096,,0.55,Production,2025,Offshore wind,1.99985931
Holland Hydrogen - phase 1,NLD,,200,,33.8973913,Production,2025,Offshore wind,1.990390692
Holland Hydrogen - phase 2,NLD,,200,,33.8973913,Production,2027,Offshore wind,1.990390692
Holmaneset Project (GAP FFI Holmaneset),NOR,,300,,44.97923077,Production,2027,,1.985580024
Holthausen Energy Point Amsterdam,NLD,,0.25,,0.043313333,Production,,Others/Various,2
Holyhead Hub,GBR,,1,,0.169486957,Production,2026,Unknown,6.99996392
Horizeo project ,FRA,,10,,1.732533333,Production,2027,Solar PV,1.99953096
Horizons Clean Hydrogen Hub ,USA,,1200,,207.904,Production,2030,,1.942284016
Horizonte de Verano - Summer Horizon - phase 1,PER,,873.0597056,,151.2605042,Production,2027,Unknown,6.958012027
Horizonte de Verano - Summer Horizon - phase 2,PER,,2556.817709,,442.9771909,Production,2032,Unknown,6.877012027
Høst - Esbjerg green ammonia plant,DNK,,1000,,173.2533333,Production,2026,Others/Various,1.951905351
Hotflex,AUT,,0.15,,0.030775263,Production,2020,Hydropower,1.999995189
Houdain bus station HRS (TADAO/Bulle 6 SMTAG),FRA,,0.5,,0.084743478,Production,2019,,1.999987973
HPCL Vizag Refinery H2,IND,,2.4,,0.415808,Production,2024,Unknown,6.999896571
HPEM2GAS (R&D),DEU,,0.2,,0.029986154,Production,2016,,4.999997595
HRS Aalborg,DNK,,0.25,,0.042371739,Production,2020,,2
HRS Bremervörde - trains,DEU,,3.895131086,,0.584,Production,2022,,4.999824645
HRS CMB Port of Antwerp,BEL,,1,,0.149930769,Production,2021,,1.99996392
HRS CNH2 Puertollano,ESP,,0.06,,0.010169217,Production,2015,Solar PV,1.99999086
HRS Halle (Continued as Ref148),BEL,,0.3,,0.050846087,Production,,Onshore wind,1.999997595
HRS hydrogen refueling station,COL,,2,,0.299861538,Production,2026,Solar PV,1.999915813
HRS TMB Zona Franca de Barcelona,ESP,,2.5,,0.374826923,Production,2022,,1.99989176
HS Orka-H2V green methanol plant,ISL,,60,,10.3952,Production,2026,Others/Various,1.997125626
HTEC Burnaby plant,CAN,,2.106741573,,0.365,Production,2024,,1.999910678
HTWO-Fuel Lutelandet,NOR,,20,,3.465066667,Production,2028,,1.999049893
Huadian Baotou City Damaoqi Hydrogen Production Electrolysis Project,CHN,,54,,9.35568,Production,2025,Others/Various,1.997414266
"Huadian Group - Minh Quang, Quang Tri province project",VNM,,692.6273665,,120,Production,,Others/Various,1.966692027
"Huadian Keyouqianqi 50,000 kW wind power to hydrogen to green methanol integrated project",CHN,,220.8638602,,38.2654,Production,,Onshore wind,1.989387001
Huaneng electrolysis plant in Western Sichuan,CHN,,27,,4.67784,Production,,Hydropower,1.998713146
Huaneng Inner Mongolia East Energy - Xing'an League project,CHN,,270,,45.76147826,Production,,Others/Various,1.987023224
HUB Barranquilla,COL,,1217.0236,,182.4692845,Production,2027,Offshore wind,1.941465067
HUB hidrogeno Atlántico II,COL,,1106.3832,,165.8808842,Production,2027,Solar PV,1.946787609
HUB hidrogeno verde Cartagena,COL,,40,,5.997230769,Production,2027,Solar PV,1.99808776
Huelva - Endesa,ESP,,100,,17.32533333,Production,2027,,1.995201359
Humber H2ub (Green),GBR,,120,,20.7904,Production,2029,,1.994239226
Hunfeld project ,DEU,,5,,0.866266667,Production,2025,Onshore wind,4.999771493
"Hungary-Slovakia H2 Corridor, HU part",HUN,2029,0,164 km ,2.42,Infrastructure,,,1.999987973
"Hungary-Slovenia H2 Corridor, HU part",HUN,2035,0,201,660,Infrastructure,,,1.999987973
Hunter Energy Hub,AUS,,1075,,186.2473333,Production,,Unknown,6.94829735
HValleSur,CHL,,5,,0.866266667,Production,,Solar PV,1.999771493
Hy Stor,USA,,2200,,381.1573333,Production,2025,Others/Various,1.89417734
HY.City.Bremerhaven,DEU,,2,,0.299861538,Production,2024,Onshore wind,4.999915813
HY.Waiblingen,DEU,,2,,0.346506667,Production,2025,,4.999915813
Hy2B plant in Pfeffenhausen,DEU,,5,,0.847434783,Production,2024,Solar PV,4.999771493
Hy2gen Sauda project,NOR,,300,,51.976,Production,2027,Unknown,6.985580024
"Hy2gen Yucatan Marengo project,  1",MEX,,160,,27.11791304,Production,2028,Others/Various,1.992314959
"Hy2gen Yucatan Marengo project,  2",MEX,,40,,5.997230769,Production,2028,Others/Various,1.99808776
Hy4Chem - BASF Ludwigshafen,DEU,,54,,8.096261538,Production,2025,Unknown,9.997414266
HyBALANCE,DNK,,1.5,,0.224896154,Production,2020,Onshore wind,1.999939867
HYBAYERN,DEU,,2.872659176,,0.4307,Production,2025,Unknown,9.999873833
HyBizkaia EFuels and Mobility at Basque Hydrogen Corridor,ESP,,10,,1.732533333,Production,2025,,1.99953096
Hybla Project,ITA,,80,,11.99446154,Production,,,1.996163493
HyBont,GBR,,5.2,,0.900917333,Production,2025,Unknown,6.999761872
"Hybrid energy storage system NFCRC, California",USA,,0.007,,0.001049515,Production,2010,,1.99998831
"Hybrid Power Plant Enertrag, Prenzlau",DEU,,0.5,,0.084743478,Production,2011,,4.999987973
HYBRIT demo,SWE,,500,,84.74347826,Production,2025,,1.975958689
HYBRIT expansion,SWE,,500,,86.62666667,Production,2030,,1.975958689
HYBRIT pilot,SWE,,4.5,,0.762691304,Production,2021,,1.999795547
"Hychico, Comodoro Rivadavia",ARG,,0.828,,0.1403352,Production,2009,Onshore wind,1.999972194
HyCOR,FRA,,20,,3.465066667,Production,2025,,1.999049893
HyDeer,NLD,,24.04956134,,4.166666667,Production,2024,Solar PV,1.998855082
Hydepark,TUR,,0.007,,0.001049515,Production,2008,,1.99998831
HyDeploy,GBR,,0.5,,0.074965385,Production,2020,,1.999987973
HYDRA project,CHL,,902.8892456,,156.4285714,Production,,Solar PV,1.956577027
Hydreen HLC Green Energy Himachal Pradesh H2,IND,,3463.136832,,600,Production,2027,Unknown,6.833412027
HydrGEN I,DEU,,100,,20.51684211,Production,,Offshore wind,4.995201359
Hydro Havrand - Hoyanger,NOR,,5,,0.749653846,Production,2025,Hydropower,1.999771493
Hydrogen Based Microgrid at NETRA,IND,,0.34,,0.050976462,Production,2024,Unknown,6.99999567
"Hydrogen City, phase 1",USA,,2000,,346.5066667,Production,2030,Others/Various,1.903798676
"Hydrogen City, phase 2",USA,,15315.72264,,2653.5,Production,,Others/Various,1.263223527
Hydrogen Eagle (Litvínov),CZE,,30,,4.497923077,Production,2028,Onshore wind,1.998568826
Hydrogen Eagle (Spolana),CZE,,18,,3.11856,Production,2030,Onshore wind,1.999146107
"Hydrogen Eagle (Spolana), phase 1",CZE,,6,,1.03952,Production,2026,Others/Various,1.999723387
"Hydrogen Eagle (Spolana), phase 2",CZE,,30,,5.1976,Production,2030,Others/Various,1.998568826
Hydrogen Eagle (various hubs),POL,,100,,17.32533333,Production,2030,Offshore wind,1.995201359
Hydrogen Eagle (various hubs),POL,,10,,1.732533333,Production,2030,Onshore wind,1.99953096
Hydrogen Eagle (various hubs),SVK,,60,,10.3952,Production,2030,Onshore wind,1.997125626
Hydrogen Energy Comprehensive Utilization Project,CHN,,231.9070533,,40.17867,Production,,,1.988855749
"Hydrogen Energy Metallurgical Chemical Demonstration Zone, 1",CHN,,1215,,210.5028,Production,2028,Others/Various,1.941562416
"Hydrogen Energy Metallurgical Chemical Demonstration Zone, 2",CHN,,135,,23.3892,Production,2025,Onshore wind,1.993517625
Hydrogen Energy Storage System at Borrego Springs ,USA,,1,,0.149930769,Production,2022,Unknown,6.99996392
Hydrogen factory NLR Marknesse,NLD,,20,,3.465066667,Production,2030,,1.999049893
Hydrogen for fuel cell testing and heat recovery,DEU,,1,,0.173253333,Production,2024,Solar PV,4.99996392
Hydrogen for heavy duty transport,COL,,40,,6.930133333,Production,2027,,1.99808776
Hydrogen for self-sufficiency,CAN,,2,,0.346506667,Production,2025,Others/Various,1.999915813
Hydrogen Fuels Australia Truganina refuelling station - H2FA,AUS,,0.432,,0.073218365,Production,2024,Solar PV,1.999991245
Hydrogen Generation Unit  - H2V Las Tortolas,CHL,,0.004868914,,0.00073,Production,2021,Solar PV,1.999988208
Hydrogen Hub Agder Phase 1,NOR,,20,,3.38973913,Production,2025,,1.999049893
Hydrogen Hub Agder Phase 2,NOR,,40,,6.930133333,Production,2027,,1.99808776
Hydrogen injection into the gas network in Lithuania,LTU,,1,,0.173253333,Production,2024,,1.99996392
Hydrogen Island Aitutaki,COK,,0.055,,0.009321783,Production,2011,,1.999990619
Hydrogen Island Bozcaada,TUR,,0.0495,,0.00857604,Production,2011,,1.999990355
Hydrogen Island Bozcaada,TUR,,0.055,,0.009321783,Production,2011,,1.999990619
Hydrogen Lab Bremerhaven (phase 1),DEU,,1,,0.149930769,Production,2023,Onshore wind,4.99996392
Hydrogen Lab Bremerhaven (phase 2),DEU,,9,,1.55928,Production,,Onshore wind,4.999579067
Hydrogen Lab Gorlitz,DEU,,2,,0.346506667,Production,2023,,4.999915813
Hydrogen Lab Leuna (phase 1),DEU,,1,,0.205168421,Production,2021,Onshore wind,4.99996392
Hydrogen Lab Leuna (phase 2),DEU,,4,,0.693013333,Production,,Onshore wind,4.9998196
Hydrogen mini grid system Yorkshire (Rotherham),GBR,,0.03,,0.005084609,Production,2012,,1.999989417
Hydrogen Offshore Production Europe (HOPE),BEL,,10,,1.499307692,Production,2026,Offshore wind,1.99953096
Hydrogen Park Gladstone,AUS,,0.175,,0.026237885,Production,2024,,1.999996392
"Hydrogen Park Murray Valley, Victoria",AUS,,10,,1.694869565,Production,2025,Others/Various,1.99953096
Hydrogen Park South Australia - HyPSA,AUS,,1.25,,0.187413462,Production,2021,Others/Various,1.999951893
Hydrogen Park Takasago,JPN,,5.06,,0.857604,Production,2023,,1.999768607
Hydrogen plant - August Global Investment,IDN,,300,,51.976,Production,2026,Unknown,6.985580024
Hydrogen plant - Environmental Business Park (PEMA),ESP,,2.5,,0.433133333,Production,2024,Unknown,6.99989176
Hydrogen plant - Orkney Islands - BIG HIT 1st phase,GBR,,0.7,,0.104951538,Production,2017,Onshore wind,1.999978352
Hydrogen plant - Orkney Islands - BIG HIT 2n phase,GBR,,1,,0.149930769,Production,2019,Onshore wind,1.99996392
Hydrogen Plant for Westereems Wind Farm (RWE Eemshydrogen),NLD,,50,,7.496538462,Production,2027,Onshore wind,1.997606693
Hydrogen Power South Australia,AUS,,250,,43.31333333,Production,2026,Unknown,6.987985358
Hydrogen production De Liede,NLD,,15,,2.5988,Production,2027,,1.999290427
Hydrogen Project - La Romana,DOM,,350,,60.63866667,Production,2028,Others/Various,1.98317469
Hydrogen project Duqm area,OMN,,1154.378944,,200,Production,,Unknown,6.944478693
Hydrogen project in Cadiz,ESP,,352,,60.98517333,Production,,Solar PV,1.983078477
"Hydrogen Valley South Tyrol - Bolzano, CHIC",ITA,,1.5,,0.254230435,Production,2014,,1.999939867
Hydrogen village Burgenland,AUT,,0.0104,,0.00155928,Production,2006,,1.999988474
Hydrogen Wind Farm Sotavento,ESP,,0.3,,0.050846087,Production,2008,Onshore wind,1.999997595
Hydrogen Wind Turbine in Wieringerwerf,NLD,,5,,0.749653846,Production,2025,Onshore wind,1.999771493
"Hydrogen, ammonia project - Tecnicas Reunidas",AUS,,948.4130731,,164.3157263,Production,2028,Unknown,6.954387027
Hydrogenpilot Oosterwolde,NLD,,1.3,,0.225229333,Production,2022,,1.999949488
HydroHub-Fenne,DEU,,53,,7.946330769,Production,2026,Others/Various,4.997462373
Hydrospider - St Gallen,CHE,,2,,0.299861538,Production,2020,Hydropower,1.999915813
HydrOxy Hub Walsum- Phase 2-3,DEU,,363,,62.89096,Production,,,4.982549303
HyEnergy Zero Carbon Hydrogen,AUS,,8000,,1386.026667,Production,2030,Others/Various,1.615158622
HyEx - phase 1,CHL,,26,,4.504586667,Production,2025,Solar PV,1.998761253
HyEx - phase 2,CHL,,2000,,346.5066667,Production,2030,Solar PV,1.903798676
Hy-Fi,CHL,,2738.764045,,474.5,Production,2025,Others/Various,1.868259193
"HyFLEET:CUTE, Amesterdam",NLD,,0.3,,0.050846087,Production,2003,,1.999997595
"HyFLEET:CUTE, Hamburg",DEU,,0.276,,0.0467784,Production,2003,,4.999998749
Hyflexpower,FRA,,1.6,,0.239889231,Production,2022,,1.999935056
HyFuel Floro/ Fjord base,NOR,,20,,3.465066667,Production,2027,,1.999049893
Hygenco Demonstration Plant,IND,,0.1,,0.016948696,Production,2022,Solar PV,1.999992784
"Hygenco Gopalpur GNH3 Plant - Tata Steel Special Economic Zone MoU, phase 2",IND,,3.946256266,,0.668838964,Production,,Others/Various,1.999822185
"Hygenco Gopalpur GNH3 Plant- Tata Steel Special Economic Zone MoU, phase 1",IND,,0.910674523,,0.154347453,Production,2026,Others/Various,1.999968217
Hygenco JSL Plant,IND,,1.8,,0.305076522,Production,2024,Solar PV,1.999925435
Hygenco Sterlite GH2 Plant,IND,,1.8,,0.305076522,Production,,Others/Various,1.999925435
HyGreen Provence,FRA,,350,,60.63866667,Production,2030,Solar PV,1.98317469
"HyGreen Teesside, phase I",GBR,,80,,13.86026667,Production,2025,Unknown,6.996163493
"HyGreen Teesside, phase II",GBR,,420,,72.7664,Production,2030,Unknown,6.979807223
HyHubMo/Hydrogen Hub Mo,NOR,,40,,6.779478261,Production,2024,,1.99808776
HyKero,DEU,,296.5014411,,51.36986301,Production,2028,Unknown,9.985748328
HyLan,FRA,,30,,5.1976,Production,2025,Solar PV,1.998568826
HYLINK Totara,NZL,,0.0025,,0.000374827,Production,2009,,1.999988094
"HYLINK, Totara Valley",NZL,,0.000468,,7.02E-05,Production,2008,,1.999987996
HyMarnham,GBR,,9.3,,1.611256,Production,2026,,1.999564635
HyMAT SH,DEU,,10,,1.732533333,Production,2026,Others/Various,4.99953096
HyMed,ITA,,1000,,173.2533333,Production,2027,Offshore wind,1.951905351
Hynamics Cannes,FRA,,2,,0.338973913,Production,2025,,1.999915813
Hynamics Dunkirk,FRA,,1,,0.169486957,Production,2025,,1.99996392
Hynamics Hydom,FRA,,85,,14.4063913,Production,2027,,1.995922959
Hynamics LH2,FRA,,2,,0.338973913,Production,2025,,1.999915813
Hynamics Martres-Tolosane,FRA,,2,,0.338973913,Production,2025,,1.999915813
Hynamics VSGP,FRA,,2,,0.338973913,Production,2025,,1.999915813
HyNetherlands 2nd phase,NLD,,900,,155.928,Production,2028,Offshore wind,1.956716019
"HyNetherlands, 1st phase",NLD,,100,,17.32533333,Production,2027,Offshore wind,1.995201359
Hynfra-MGA Ammonia plant,MRT,,160,,27.72053333,Production,2029,Unknown,6.992314959
HYNOVERA (Phase 1),FRA,,120,,20.7904,Production,2028,Others/Various,1.994239226
Hynovi - Vicat Montalieu-Vercieu cement plant,FRA,,330,,57.1736,Production,2027,,1.984136824
HyNQ – North Queensland Clean Energy Project,AUS,,1000,,173.2533333,Production,,Unknown,6.951905351
Hyoffwind Zeebrugge,BEL,,25,,4.331333333,Production,2026,Offshore wind,1.99880936
"Hyoffwind Zeebrugge, expansion",BEL,,75,,12.994,Production,,Offshore wind,1.996404026
Hyper Hydrogen Energy Zhangjiakou Wind Power Hebei - first phase,CHN,,9.260299625,,1.5695,Production,2020,Onshore wind,1.999566544
Hyper Hydrogen Energy Zhangjiakou Wind Power Hebei - second phase,CHN,,147.5039762,,25,Production,2026,Onshore wind,1.992916101
Hyperion H2 Alandroal- Phase 1,PRT,,50,,8.662666667,Production,2025,Solar PV,1.997606693
Hyperion H2 Alandroal- Phase 2,PRT,,100,,17.32533333,Production,2027,Solar PV,1.995201359
Hyperion H2 Alandroal- Phase 3,PRT,,100,,17.32533333,Production,2030,Solar PV,1.995201359
Hyphen Hydrogen Energy - phase I,NAM,,1000,,173.2533333,Production,2027,Unknown,6.951905351
Hyphen Hydrogen Energy - phase II,NAM,,2000,,346.5066667,Production,2029,Unknown,6.903798676
HyPilot project ,NOR,,1,,0.149930769,Production,2024,Offshore wind,1.99996392
Hyport - Toulouse-Blagnac Airport,FRA,,2,,0.338973913,Production,2023,,1.999915813
HYPORT Gargoub project,EGY,,500,,86.62666667,Production,,Unknown,6.975958689
"Hyport@Duqm, phase 1",OMN,,500,,86.62666667,Production,2030,Others/Various,1.975958689
"Hyport@Duqm, phase 2",OMN,,1000,,173.2533333,Production,,Others/Various,1.951905351
Hypos - Sunfire,DEU,,0.18,,0.036930316,Production,2019,,4.999996633
HYPOS (several projects),DEU,,1.3,,0.225229333,Production,2019,Unknown,9.999949488
HyPro Aconcagua,CHL,,20,,3.465066667,Production,,,1.999049893
Hypster,FRA,,1,,0.149930769,Production,2023,Unknown,6.99996392
Hyrasia one,KAZ,,20000,,3465.066667,Production,2032,Others/Various,1.037878516
HYRO  3 Northfleet- Kimberly-Clark project (2 pamts),GBR,,17,,2.945306667,Production,2026,Unknown,6.999194213
HySCALE 100 - IPCEI project Heide refinery,DEU,,500,,86.62666667,Production,2026,Unknown,9.975958689
"Hysencia, Phase I",ESP,,40,,6.930133333,Production,2026,Others/Various,1.99808776
"Hysencia, Phase II",ESP,,160,,27.72053333,Production,,Others/Various,1.992314959
HySkies,SWE,,303.9139772,,52.65410959,Production,2027,,1.985391736
HySnowGroomer (within HyWest),AUT,,0.35,,0.060638667,Production,2017,Solar PV,1.999995189
Hysolar Green on Road - Nieuwegein,NLD,,2.5,,0.374826923,Production,2022,Solar PV,1.99989176
HySoW (Hydrogen South West corridor of France),FRA,2030,406,600 km (40% repurposed),1012,Infrastructure,,,1.980480716
Hystock (EnergyStock),NLD,,1,,0.149930769,Production,2021,Solar PV,1.99996392
Hystone,ESP,,10,,1.732533333,Production,,,1.99953096
"HySynergy, phase 1",DNK,,20,,3.38973913,Production,2024,,1.999049893
"HySynergy, phase 2",DNK,,280,,48.51093333,Production,2027,Others/Various,1.986542158
"HySynergy, phase 3",DNK,,700,,121.2773333,Production,2030,Others/Various,1.966337354
HySynGas,DEU,,50,,7.496538462,Production,,,4.997606693
Hytouraine,FRA,,5,,0.866266667,Production,2024,,1.999771493
Hyundai Heavy Industries - HHI East Sea - Phase I,KOR,,100,,17.32533333,Production,2030,Offshore wind,1.995201359
Hyundai Heavy Industries - HHI East Sea- Phase II,KOR,,1200,,207.904,Production,2025,Offshore wind,1.942284016
Hyundai Hydrogen Project at Buan Renewable Energy Theme Park,KOR,,2.5,,0.374826923,Production,2025,,1.99989176
HyVENCE,FRA,,60,,10.3952,Production,2028,Solar PV,1.997125626
"Hyways for future, 1st hub",DEU,,2,,0.299861538,Production,2024,Onshore wind,4.999915813
"Hyways for future, total",DEU,,5.303370787,,0.795138462,Production,2024,,4.999756899
IAM Caecius,ESP,,25,,4.331333333,Production,,Unknown,6.99880936
IBCLNG hydrogen plant,THA,,25,,4.331333333,Production,,Others/Various,1.99880936
Iberdrola - H2 Green Steel,PRT,,800,,138.6026667,Production,2027,Solar PV,1.961526686
Iberdrola - Palos de la Frontera I,ESP,,200,,34.65066667,Production,2026,Solar PV,1.990390692
Iberdrola - Palos de la Frontera II,ESP,,360,,62.3712,Production,2028,Solar PV,1.982693623
Iberdrola - Puertollano I,ESP,,20,,2.998615385,Production,2022,Solar PV,1.999049893
Iberdrola - Puertollano II (extension from Ref10),ESP,,210,,33.1128,Production,2027,Solar PV,1.989909625
Iberdrola - Trammo green hydrogen ,ESP,,140,,24.25546667,Production,2026,Solar PV,1.993277092
Iberdrola-Foresa Green Methanol (phase 1),ESP,,5,,0.749653846,Production,2026,Onshore wind,1.999771493
Iberdrola-Foresa Green Methanol (phase 2),ESP,,150,,25.988,Production,2027,Onshore wind,1.992796025
Icarus,GRC,,300,,51.976,Production,,Unknown,6.985580024
IdrogeMO,ITA,,2.5,,0.423717391,Production,2026,Solar PV,1.99989176
IdunnH2 SAF plant,ISL,,192.7259367,,33.39041096,Production,2028,,1.990740623
IHAVU,ESP,,0.000225,,3.90E-05,Production,2008,,1.999987984
IHI - ISCE2 SAF project ,SGP,,0.021067416,,0.00365,Production,2025,,1.999988987
Indaver,IRL,,10,,1.732533333,Production,2026,Unknown,6.99953096
Indonesia-Singapore hydrogen project,IDN,,577.1894721,,100,Production,,Unknown,6.97224536
Industrial Cachimayo,PER,,25,,4.237173913,Production,1965,Hydropower,1.99880936
Industrias Quimicas Del Oxido De Etileno,ESP,,15,,2.5988,Production,,Unknown,6.999290427
INEOS Köln site,DEU,,100,,17.32533333,Production,2025,,4.995201359
Ineratec PtX plant in Frankfurt,DEU,,14.82507206,,2.568493151,Production,2024,Unknown,9.999298842
Infinuim Mo Industrial Park,NOR,,34,,5.890613333,Production,2030,,1.9983764
INGRID,ITA,,1.2,,0.203384348,Production,2016,,1.999954299
Inner Mongolia Zhongsheng Tech. Group low-carbon methanol ,CHN,,22.08638602,,3.82654,Production,2025,,1.998949524
Innio Jenbach - H2 Ready ,AUT,,2,,0.299861538,Production,2025,,1.999915813
InnovaHub,NLD,,0.0675,,0.0116946,Production,2024,Solar PV,1.999991221
INOX Air Products - Maharashtra government MoU,IND,,519.6783962,,90.03601441,Production,,,1.975012027
Inspira Madrid,ESP,,10,,1.732533333,Production,2025,Solar PV,1.99953096
Invenergy Port of Grays Harbor,USA,,189.6067416,,32.85,Production,2026,Unknown,6.990890677
Inverness hydrogen hub - Phase 1,GBR,,6,,1.016921739,Production,2025,,1.999723387
Inverness hydrogen hub - Phase 2,GBR,,18,,3.050765217,Production,2030,,1.999146107
IPCEI Blue Danube - first project,DEU,,20,,3.465066667,Production,,Hydropower,4.999049893
Iqoxe,ESP,,15,,2.542304348,Production,2027,Solar PV,1.999290427
IRENE System,CAN,,0.006,,0.001016922,Production,2007,,1.999988262
Istanbul,TUR,,0.16,,0.027117913,Production,2009,,1.99999567
ITHER,ESP,,0.065,,0.011016652,Production,2010,,1.9999911
ITM-Sumitomo Coorp,JPN,,2,,0.299861538,Production,2024,,1.999915813
Iverson e-fuels,NOR,,250,,43.31333333,Production,2028,Unknown,6.987985358
J Westling,USA,,200,,33.8973913,Production,,,1.990390692
Jangada,DEU,,75,,11.24480769,Production,2027,,4.996404026
Jeju demostration project,KOR,,2,,0.346506667,Production,2025,Unknown,6.999915813
Jemena Western Sydney - H2GO project,AUS,,0.5,,0.074965385,Production,2021,,1.999987973
JGC - Asahi Kasei demo ammonia plant,JPN,,3.102364541,,0.525810324,Production,2024,Unknown,6.999862782
Jidao Energy Ordos e-methanol project,CHN,,372.7077642,,64.5728625,Production,,,1.982082295
"Jidian corporation Yancheng 300,000 tons green methanol project",CHN,,331.2957904,,57.3981,Production,,,1.984074488
Jilin Changling Wind-Solar-Hydrogen-Ammonia Digital Demonstration Project,CHN,,361.1124115,,62.563929,Production,,Others/Various,1.982640109
Jindal - Suez Canal Economic Zone authority  green steel project,EGY,,3623.018316,,627.7,Production,,Unknown,6.82572066
Jindal Hygenco India,IND,,1.8,,0.305076522,Production,2024,Solar PV,1.999925435
Jingneng Chagannur Wind Poer Hydrogen Production Project,CHN,,2.265661074,,0.384,Production,2023,Onshore wind,1.999903033
Jingneng Coal-to-Chemical Renewable Green Hydrogen Alternative Demostration Project,CHN,,158.218665,,26.816,Production,2024,Onshore wind,1.992400653
Jorhat H2,IND,,0.865784208,,0.15,Production,2022,Unknown,6.999970377
JSW green hydrogen,IND,,0.042134831,,0.0073,Production,2026,Unknown,6.99999
JSW Karnataka H2,IND,,43.86639988,,7.6,Production,2027,Unknown,6.99790176
JSW Steel ,IND,,12,,2.033843478,Production,2025,Unknown,6.999434747
Julio Verne project,ESP,,1.4,,0.242554667,Production,2025,Unknown,6.999944677
Jupiter 1000,FRA,,1,,0.169486957,Production,2020,,1.99996392
Kalisaya - stage 1,CHL,,1,,0.173253333,Production,,Unknown,6.99996392
Kalisaya - stage 2,CHL,,9,,1.55928,Production,,Unknown,6.999579067
Kalisaya - stage 3,CHL,,90,,15.5928,Production,,Unknown,6.995682426
Kapuni Green Hydrogen Project - Taranaki,NZL,,4.213483146,,0.73,Production,2025,Others/Various,1.99980933
Karnataka Acme H2,IND,,2308.757888,,400,Production,2027,Unknown,6.88894536
Kawar Energy green ammonia project,JOR,,103.9356792,,18.00720288,Production,,,1.995012027
KEME ENERGY,PRT,,0.933764301,,0.14,Production,,Solar PV,1.999967106
KEME Energy Sines,PRT,,2.52,,0.4365984,Production,,Unknown,6.999890798
Kenya Electricity Generating Company pilot shceme,KEN,,5,,0.866266667,Production,,Unknown,6.999771493
"Kenya Private Sector Alliance - FFI MoU, phase 1",KEN,,300,,51.976,Production,2025,Unknown,6.985580024
KEPCO -Xenel green ammonia project,JOR,,1039.356792,,180.0720288,Production,,,1.950012027
"KEPCO, Korea Southern Power, KNOC, Samsun, Posco",SAU,,2494.456302,,432.1728691,Production,,Unknown,6.880012027
Keravan Energia (Kerava),FIN,,50,,8.662666667,Production,2027,,1.997606693
Khalifa Industrial Zone Abu Dhabi (KIZAD) Helios Industry- phase 1,ARE,,123.9529212,,21.00840336,Production,2024,Solar PV,1.994049064
Khalifa Industrial Zone Abu Dhabi (KIZAD) Helios Industry- phase 2,ARE,,584.3494855,,99.03961585,Production,2026,Solar PV,1.971900916
Kibbuts Yotvata Hydrogen Valley,ISR,,30,,5.1976,Production,,Solar PV,1.998568826
Kimberly-Clark Coleshill/HyRo 2,GBR,,11,,1.905786667,Production,2026,Unknown,6.999482853
Kintore Scotland Hydrogen project - phase 1,GBR,,500,,86.62666667,Production,2028,Onshore wind,1.975958689
Kintore Scotland Hydrogen project - phase 2,GBR,,2500,,433.1333333,Production,2030,Onshore wind,1.879745338
Knockshinnoch hydrogen production facility - Scotland,GBR,,2.5,,0.433133333,Production,2025,Unknown,6.99989176
Kochi Green Hydrogen (KGH2) Hub,IND,,0.008426966,,0.00146,Production,2027,Unknown,6.999988379
KOGAN HYDROGEN DEMONSTRATION PROJECT,AUS,,1,,0.149930769,Production,2024,Solar PV,1.99996392
Kogas plant in Haengwon ,KOR,,1,,0.149930769,Production,,Onshore wind,1.99996392
Kola Nuclear Power Plant demo,RUS,,1,,0.149930769,Production,2022,,1.99996392
Kolya-PNE Albacete,ESP,,1000,,173.2533333,Production,,Others/Various,1.951905351
"Konin Power Plant, phase 1 - ZE PAK",POL,,2.5,,0.374826923,Production,2024,Others/Various,1.99989176
"Konin Power Plant, phase 2 - ZE PAK",POL,,2.5,,0.374826923,Production,2026,Others/Various,1.99989176
"Konin Power Plant, phase 3",POL,,45,,6.746884615,Production,2030,Others/Various,1.997847226
Kopernikus,DEU,,0.01,,0.002051684,Production,2021,,4.999988454
Kopernikus 2.0,DEU,,0.25,,0.051292105,Production,2023,,5
Koppo Energy Cluster,FIN,,200,,33.8973913,Production,2030,Others/Various,1.990390692
Kotka power (Kotka),FIN,,150,,25.988,Production,2026,,1.992796025
Kumbarilla Renewable Energy Park (K-REP) - phase 1,AUS,,0.25,,0.043313333,Production,2024,Solar PV,2
Kumbarilla Renewable Energy Park (K-REP)- phase 2,AUS,,80,,13.86026667,Production,2024,Solar PV,1.996163493
Kunming Engineering Corporation - Fengzhen (Ulanbaq),CHN,,666.9745011,,100,Production,,Others/Various,1.967926101
Kvina Energy Park,NOR,,500,,84.74347826,Production,2028,Others/Various,1.975958689
Kvinesdal Ammonia A Energi,NOR,,600,,103.952,Production,2029,,1.971148021
Kwinana Energy Transformation Hub (KETH),AUS,,2,,0.346506667,Production,2024,Unknown,6.999915813
Kymijärvi power (Lahti),FIN,,100,,17.32533333,Production,2027,,1.995201359
